,企業名,セールスポイント,採用ステータス,初年度年収
511,日進陸運株式会社 | ★愛知県からスグ★電話での問い合わせもOK 0567-66-2510,月収40万円可能【配送スタッフ】※夜勤＆長距離ナシ/未経験OK 正社員,正社員,"仕事内容 ＼2人1組で作業！分解できるから運びやすい／ソファやベッドなどの家具配送。★！毎日家に帰れるのが魅力！★東海エリア内
対象となる方 ＼アシスタントからのスタートもOK！／きちんと挨拶ができればOK！家族のために安定収入を得たい方、今の環境を変えたい！という方、大歓迎です！！
勤務地 ＼愛知県・岐阜県からも30分圏内／ ★車通勤OK（駐車場完備） 【三重県桑名郡木曽岬町加路戸600…
給与 月給25万円〜45万円＋各種手当 ※年齢、経験、能力を考慮のうえ決定します。 ※上記月給にはみなし残業代…
初年度年収 320万円～440万円"
512,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,関西募集／未経験歓迎／年齢不問【営業】＊完休2日・年休127日＊ 正社員,正社員,"仕事内容 ▼使っていない土地の活用方法で悩んでいる地域のお客様を訪問して、アパートや賃貸マンションの経営などを提案します。
対象となる方 ＜ 業界・営業未経験者歓迎 ＞▼高卒以上／要普免 ▼『大好きな関西で働きたい！』『営業・正社員デビューしてみたい！』などの方歓迎します！
勤務地 ◆関西エリアの各拠点 自宅近くの拠点での勤務希望を考慮します。 ※Ｉ＆Ｕターン歓迎！ ※各事業所の…
給与 月給26万3,000円以上＋諸手当＋業績連動成果給 ※月給は、固定残業代【47時間分（6万9,000円以上）】を含…
初年度年収 400万円～800万円"
513,三ツ矢鉄工株式会社 | 【紙管製造機メーカー／転勤なし！】大阪府緊急雇用対策に賛同,事業部の立ち上げメンバー【電機制御設計】月給35万円以上も可能 正社員,正社員,"仕事内容 【国内シェアトップクラス】◆紙管製造機をはじめ、産業機械の電機設計・試運転のチェックをお任せします ◆イチから事業部をつくる面白さ！
対象となる方 【学歴不問／経験者募集】◆産業・医療・食品機械、いずれかに携わった経験 ◆シーケンス制御の設計 ◆モーター制御の経験 ◆電機設計の経験
勤務地 【転勤なし／自転車通勤OK！】 大阪府大阪市淀川区田川北3-6-5 ◎JR「塚本駅」から徒歩約15…
給与 月給25万円〜35万円＋諸手当＋賞与年2回 ※経験・能力・年齢を考慮の上、当社規定により決定いたします …"
514,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,*年休127日*【 営業 】北関東エリア募集＊未経験歓迎＊年齢不問 正社員,正社員,"仕事内容 ＜ 北関東でニーズ増加中 ＞■地域のお客さまへの土地活用の提案を行います ■充実の研修・教育体制あり！上司のフォローも手厚いので始めやすい
対象となる方 ＜ 業界・営業未経験者歓迎 ＞■高卒以上／要普免 ■『大好きな北関東で働きたい！』『営業・正社員デビューしてみたい！』などの方歓迎します！
勤務地 ◆茨城県、栃木県、群馬県の各営業所 ※自宅近くの拠点での勤務希望を考慮 ※Ｉ＆Ｕターン歓迎！ ※各…
給与 月給26万3,000円以上＋諸手当＋業績連動成果給 ※月給は、固定残業代【47時間分（6万9,000円以上）】を含…
初年度年収 400万円～800万円"
515,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,＼年休127日／【 営業 】中四国エリア募集＊未経験＊年齢不問 正社員,正社員,"仕事内容 ＜ 中四国でニーズ増加中 ＞■地域のお客さまへの土地活用の提案を行います ■充実の研修・教育体制あり！上司のフォローも手厚いので始めやすい
対象となる方 ＜ 業界・営業未経験者歓迎 ＞■高卒以上／要普免 ■『大好きな中四国で働きたい！』『営業・正社員デビューしてみたい！』などの方歓迎します！
勤務地 ■中四国の各営業所 ※自宅近くの拠点での勤務希望を考慮 ※Ｉ＆Ｕターン歓迎！ ※各事業所の詳しい住…
給与 月給26万3,000円以上＋諸手当＋業績連動成果給 ※月給は、固定残業代【47時間分（6万9,000円以上）】を含…
初年度年収 400万円～800万円"
516,株式会社福コンサルタント | 土日祝休み／住宅手当／残業なし／高収入／面接1回／副業可,公共工事の【施工管理／点検管理】★年休126日★年収600万円以上 正社員,正社員,"仕事内容 【頑張りを還元】「公共工事の施工管理」「公共施設の点検管理」　を経験やスキルに応じて得意なことからお任せします。★有資格者＆経験者の定着率高
対象となる方 【40～50代など幅広い世代が活躍中】◆応募条件／「土木施工管理技士」「建築士」「建築施工管理技士」「電気工事施工管理技士」いずれかの有資格者
勤務地 関東、関西、中国、四国、九州、東海、北陸、東北など日本全国の各現場事務所 ※勤務地は希望を考慮して…
給与 ▼「各種1級施工管理技士」or「1級建築士」有資格者の場合 年俸600万円〜750万円 ＜月収例＞ 月収50万円…
初年度年収 540万円～800万円"
517,株式会社PRIME | サポート体制万全だから未経験でも活躍できる！,★完全在宅★【動画クリエイター】即日採用可、未経験大歓迎！ パート・アルバイト,パート・アルバイト,"仕事内容 動画クリエイターとして、動画コンテンツの企画・撮影・配信をトータルにお任せします。
対象となる方 【業界未経験歓迎／学歴不問】★スマートフォンの基本的な操作スキルさえあればOK！YouTubeやSNSに興味がある方！未経験スタートも安心のサポート体制
勤務地 【原則自由／完全在宅勤務】 全国どこでもリモートで勤務可能です♪ 流行りのテレワーク！ 業務の連絡…
給与 時給1,100円〜5,000円 【給与例】 ・初月→【50,000円】GET！ （平均40時間業務/時給換算1,250円） ・2…"
518,株式会社ユキ設備 | 大型施設の設置実績多数★好待遇でお待ちしています！,【空調施工スタッフ】★月給26万円～★残業基本なし★手当が豊富 正社員,正社員,"仕事内容 ＜ あの有名施設にも！＞　◎大型施設への空調設備・換気設備の設置にともなう業務　★残業は多くても月10時間以内 ★現場への直行直帰もOK！
対象となる方 ＜ いまの働き方、変えませんか？＞　☆配管工事・空調設備設置・建設業界の実務経験がある方　◎学歴不問　◎要普免　★将来を見据えて働ける環境！
勤務地 ＼転勤なし／＼マイカー通勤OK／ ※現場は沖縄県内全域となります。 現場への直行直帰が基本となりま…
給与 月給26万円〜 ＜モデル例＞ 月収30万円／管工事施工管理技士（2級） ※年齢、経験、能力を考慮の上、…"
519,株式会社reclaim | 制度充実！頑張り次第で1000万以上も可能/寮完備/賞与年3回,【設備施工総合職】初年度から年収400万以上可能！未経験大歓迎 正社員,正社員,"仕事内容 ★一生モノのスキルと資格で市場価値UP！★エアコン設置、住宅設備工事など適性にあわせてお任せします！/経験・資格ない方でも一流に育て上げます！
対象となる方 【未経験・第2新卒歓迎】 学歴・経験・資格いっさい不問★資格手当充実/電気工事士などの資格や、多彩な制度を活用し年収大幅UP！努力は収入に還元！
勤務地 【川崎営業所】 神奈川県川崎市高津区北見方3-7-20 ※転勤なし ＆ 車・バイク・自転車通勤OK…
給与 【完全週休2日制の場合】 月給24.2万円〜30.2万円 【隔週休2日制の場合】 月給28.5万円〜35万円 ※上記…
初年度年収 320万円～600万円"
520,株式会社センシン | ハウスメーカーへの安定取引/福利厚生充実◎未経験歓迎,デスクワークが中心の【営業スタッフ】◎応募者全員面接します！ 正社員,正社員,"仕事内容 【 サポート充実！デスクワーク多め★* 】問い合わせ対応、資料作成や写真管理をお願いします！＊取引先は官公庁、製造業、ハウスメーカーなど
対象となる方 【まったくの未経験で大丈夫！】◎車の免許(AT可) ◎人と話すことが好きな方　★定着率抜群！有給休暇も取得しやすい環境です！
勤務地 三重県四日市市宮東町三丁目34-1 ◎転勤なし ◎U・Iターン歓迎！ ◎車通勤可（駐車場完備）
給与 【月給24〜30万円】 ＊＊年功序列ではなく頑張った分だけ収入がアップ＊＊ ※あなたの年齢や経験、能力…
初年度年収 350万円～600万円"
521,株式会社バンブーフィールド | 8～12日の長期休暇あり／完全週休2日／残業少なめ,【不動産仕入れ営業】圧倒的な仕入れ易さで年収2000万円も実現可 正社員,正社員,"仕事内容 【幅広く仕入れられ、稼げる舞台！】戸建分譲用地、収益ワンルーム・アパート、中古リノベーションなど、多彩な物件の仕入れ・商品化が可能です！
対象となる方 【応募条件】戸建用地仕入れの営業経験をお持ちの方　～「稼ぎたい」という方は稼げる仕組みがある当社へ！～★20・30代活躍中
勤務地 □■西新宿駅直結／転勤なし／直行直帰も可能■□ 東京都新宿区西新宿6-5-1 新宿アイランドタワー…
給与 月給30万円~＋各種手当＋インセン ※マネージャー採用の場合は月給35万円~ (収益物件は利益の最高10％、…
初年度年収 400万円～800万円"
522,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【営業】神奈川募集＊未経験歓迎＊年齢不問 正社員,正社員,"仕事内容 ＜ 神奈川県でニーズ増加中 ＞■地域のお客さまへの土地活用の提案を行います ■充実の研修・教育体制あり！上司のフォローも手厚いので始めやすい
対象となる方 ＜ 業界・営業未経験者歓迎 ＞■高卒以上／要普免 ■『大好きな神奈川で働きたい！』『営業・正社員デビューしてみたい！』などの方歓迎します！
勤務地 ◆神奈川県内の各拠点 ※自宅近くの拠点での勤務希望を考慮 ※Ｉ＆Ｕターン歓迎 ※各事業所の詳しい住…
給与 月給26万3,000円以上＋諸手当＋業績連動成果給 【営業社員の平均年収819万円】 ※月給は、固定残業代【…
初年度年収 450万円～800万円"
523,株式会社阪栄 | ＜高収入＆高待遇＞ぜひあなたの経験スタイルを活かして下さい！,毎年売上増！食品工場の【工場長候補】★月給35万円～ 正社員,正社員,"仕事内容 【工場長候補として活躍！】玉ネギ・キャベツといった""カット野菜""製造工場での管理業務をお任せします◎景気に左右されない「食」のおしごと！
対象となる方 【性別・年齢不問！】応募条件：要普免（AT限定可）／短大・専門卒以上／工場長などの管理・マネジメント経験(食品系) をお持ちの方◎
勤務地 大阪府枚方市長尾谷町1丁目24-1 ※転勤なし ※マイカー通勤OK（駐車場完備） 【阪栄はこんな職…
給与 月給：35万円以上 ※上記は最低保証給です。経験スキルに応じて相談の上で決定致します。 ※残業が発生…
初年度年収 400万円～500万円"
524,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】広島募集＊未経験歓迎＊年齢不問 正社員,正社員,"仕事内容 ＜ 広島県でニーズ増加中 ＞■地域のお客さまへの土地活用の提案を行います ■充実の研修・教育体制あり！上司のフォローも手厚いので始めやすい
対象となる方 ＜ 業界・営業未経験者歓迎 ＞■高卒以上／要普免 ■『大好きな広島で働きたい！』『営業・正社員デビューしてみたい！』などの方歓迎します！
勤務地 ◆広島県内の各拠点 ※自宅近くの拠点での勤務希望を考慮 ※Ｉ＆Ｕターン歓迎 ※各事業所の詳しい住所…
給与 月給26万3,000円以上＋諸手当＋業績連動成果給 【営業社員の平均年収819万円】 ※月給は、固定残業代【…
初年度年収 450万円～800万円"
525,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】愛媛募集＊未経験歓迎＊年齢不問 正社員,正社員,"仕事内容 ＜ 愛媛県でニーズ増加中 ＞■地域のお客さまへの土地活用の提案を行います ■充実の研修・教育体制あり！上司のフォローも手厚いので始めやすい
対象となる方 ＜ 業界・営業未経験者歓迎 ＞■高卒以上／要普免 ■『大好きな愛媛で働きたい！』『営業・正社員デビューしてみたい！』などの方歓迎します！
勤務地 ◆愛媛県内の各拠点 ※自宅近くの拠点での勤務希望を考慮 ※Ｉ＆Ｕターン歓迎 ※各事業所の詳しい住所…
給与 月給26万3,000円以上＋諸手当＋業績連動成果給 【営業社員の平均年収819万円】 ※月給は、固定残業代【…
初年度年収 450万円～800万円"
526,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】埼玉募集＊未経験歓迎＊年齢不問 正社員,正社員,"仕事内容 ＜ 埼玉県でニーズ増加中 ＞■地域のお客さまへの土地活用の提案を行います ■充実の研修・教育体制あり！上司のフォローも手厚いので始めやすい
対象となる方 ＜ 業界・営業未経験者歓迎 ＞■高卒以上／要普免 ■『大好きな埼玉で働きたい！』『営業・正社員デビューしてみたい！』などの方歓迎します！
勤務地 ◆埼玉県内の各拠点 ※自宅近くの拠点での勤務希望を考慮 ※Ｉ＆Ｕターン歓迎 ※各事業所の詳しい住所…
給与 月給26万3,000円以上＋諸手当＋業績連動成果給 【営業社員の平均年収819万円】 ※月給は、固定残業代【…
初年度年収 450万円～800万円"
527,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】石川募集＊未経験歓迎＊年齢不問 正社員,正社員,"仕事内容 ＜ 石川県でニーズ増加中 ＞■地域のお客さまへの土地活用の提案を行います ■充実の研修・教育体制あり！上司のフォローも手厚いので始めやすい
対象となる方 ＜ 業界・営業未経験者歓迎 ＞■高卒以上／要普免 ■『大好きな石川で働きたい！』『営業・正社員デビューしてみたい！』などの方歓迎します！
勤務地 ◆石川県内の各拠点 ※自宅近くの拠点での勤務希望を考慮 ※Ｉ＆Ｕターン歓迎 ※各事業所の詳しい住所…
給与 月給26万3,000円以上＋諸手当＋業績連動成果給 【営業社員の平均年収819万円】 ※月給は、固定残業代【…
初年度年収 450万円～800万円"
528,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】奈良募集＊未経験歓迎＊年齢不問 正社員,正社員,"仕事内容 ＜ 奈良県でニーズ増加中 ＞■地域のお客さまへの土地活用の提案を行います ■充実の研修・教育体制あり！上司のフォローも手厚いので始めやすい
対象となる方 ＜ 業界・営業未経験者歓迎 ＞■高卒以上／要普免 ■『大好きな奈良で働きたい！』『営業・正社員デビューしてみたい！』などの方歓迎します！
勤務地 ◆奈良県内の各拠点 ※自宅近くの拠点での勤務希望を考慮 ※Ｉ＆Ｕターン歓迎 ※各事業所の詳しい住所…
給与 月給26万3,000円以上＋諸手当＋業績連動成果給 【営業社員の平均年収819万円】 ※月給は、固定残業代【…
初年度年収 450万円～800万円"
529,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】静岡募集＊未経験歓迎＊年齢不問 正社員,正社員,"仕事内容 ＜ 静岡県でニーズ増加中 ＞■地域のお客さまへの土地活用の提案を行います ■充実の研修・教育体制あり！上司のフォローも手厚いので始めやすい
対象となる方 ＜ 業界・営業未経験者歓迎 ＞■高卒以上／要普免 ■『大好きな静岡で働きたい！』『営業・正社員デビューしてみたい！』などの方歓迎します！
勤務地 ◆静岡県内の各拠点 ※自宅近くの拠点での勤務希望を考慮 ※Ｉ＆Ｕターン歓迎 ※各事業所の詳しい住所…
給与 月給26万3,000円以上＋諸手当＋業績連動成果給 【営業社員の平均年収819万円】 ※月給は、固定残業代【…
初年度年収 450万円～800万円"
530,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】茨城募集＊未経験歓迎＊年齢不問 正社員,正社員,"仕事内容 ＜ 茨城県でニーズ増加中 ＞■地域のお客さまへの土地活用の提案を行います ■充実の研修・教育体制あり！上司のフォローも手厚いので始めやすい
対象となる方 ＜ 業界・営業未経験者歓迎 ＞■高卒以上／要普免 ■『大好きな茨城で働きたい！』『営業・正社員デビューしてみたい！』などの方歓迎します！
勤務地 ◆茨城県内の各拠点 ※自宅近くの拠点での勤務希望を考慮 ※Ｉ＆Ｕターン歓迎 ※各事業所の詳しい住所…
給与 月給26万3,000円以上＋諸手当＋業績連動成果給 【営業社員の平均年収819万円】 ※月給は、固定残業代【…
初年度年収 450万円～800万円"
531,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】群馬募集＊未経験歓迎＊年齢不問 正社員,正社員,"仕事内容 ＜ 群馬県でニーズ増加中 ＞■地域のお客さまへの土地活用の提案を行います ■充実の研修・教育体制あり！上司のフォローも手厚いので始めやすい
対象となる方 ＜ 業界・営業未経験者歓迎 ＞■高卒以上／要普免 ■『大好きな群馬で働きたい！』『営業・正社員デビューしてみたい！』などの方歓迎します！
勤務地 ◆群馬県内の各拠点 ※自宅近くの拠点での勤務希望を考慮 ※Ｉ＆Ｕターン歓迎 ※各事業所の詳しい住所…
給与 月給26万3,000円以上＋諸手当＋業績連動成果給 【営業社員の平均年収819万円】 ※月給は、固定残業代【…
初年度年収 450万円～800万円"
532,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】山口募集＊未経験歓迎＊年齢不問 正社員,正社員,"仕事内容 ＜ 山口県でニーズ増加中 ＞■地域のお客さまへの土地活用の提案を行います ■充実の研修・教育体制あり！上司のフォローも手厚いので始めやすい
対象となる方 ＜ 業界・営業未経験者歓迎 ＞■高卒以上／要普免 ■『大好きな山口で働きたい！』『営業・正社員デビューしてみたい！』などの方歓迎します！
勤務地 ◆山口県内の各拠点 ※自宅近くの拠点での勤務希望を考慮 ※Ｉ＆Ｕターン歓迎 ※各事業所の詳しい住所…
給与 月給26万3,000円以上＋諸手当＋業績連動成果給 【営業社員の平均年収819万円】 ※月給は、固定残業代【…
初年度年収 450万円～800万円"
533,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】東京募集＊未経験歓迎＊年齢不問 正社員,正社員,"仕事内容 ＜ 東京都でニーズ増加中 ＞■地域のお客さまへの土地活用の提案を行います ■充実の研修・教育体制あり！上司のフォローも手厚いので始めやすい
対象となる方 ＜ 業界・営業未経験者歓迎 ＞■高卒以上／要普免 ■『大好きな東京で働きたい！』『営業・正社員デビューしてみたい！』などの方歓迎します！
勤務地 ◆東京都内の各拠点 ※自宅近くの拠点での勤務希望を考慮 ※Ｉ＆Ｕターン歓迎 ※各事業所の詳しい住所…
給与 月給26万3,000円以上＋諸手当＋業績連動成果給 【営業社員の平均年収819万円】 ※月給は、固定残業代【…
初年度年収 450万円～800万円"
534,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】三重募集＊未経験歓迎＊年齢不問 正社員,正社員,"仕事内容 ＜ 三重県でニーズ増加中 ＞■地域のお客さまへの土地活用の提案を行います ■充実の研修・教育体制あり！上司のフォローも手厚いので始めやすい
対象となる方 ＜ 業界・営業未経験者歓迎 ＞■高卒以上／要普免 ■『大好きな三重で働きたい！』『営業・正社員デビューしてみたい！』などの方歓迎します！
勤務地 ◆三重県内の各拠点 ※自宅近くの拠点での勤務希望を考慮 ※Ｉ＆Ｕターン歓迎 ※各事業所の詳しい住所…
給与 月給26万3,000円以上＋諸手当＋業績連動成果給 【営業社員の平均年収819万円】 ※月給は、固定残業代【…
初年度年収 450万円～800万円"
535,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】京都募集＊未経験歓迎＊年齢不問 正社員,正社員,"仕事内容 ＜ 京都府でニーズ増加中 ＞■地域のお客さまへの土地活用の提案を行います ■充実の研修・教育体制あり！上司のフォローも手厚いので始めやすい
対象となる方 ＜ 業界・営業未経験者歓迎 ＞■高卒以上／要普免 ■『大好きな京都で働きたい！』『営業・正社員デビューしてみたい！』などの方歓迎します！
勤務地 ◆京都府内の各拠点 ※自宅近くの拠点での勤務希望を考慮 ※Ｉ＆Ｕターン歓迎 ※各事業所の詳しい住所…
給与 月給26万3,000円以上＋諸手当＋業績連動成果給 【営業社員の平均年収819万円】 ※月給は、固定残業代【…
初年度年収 450万円～800万円"
536,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】岐阜募集＊未経験歓迎＊年齢不問 正社員,正社員,"仕事内容 ＜ 岐阜県でニーズ増加中 ＞■地域のお客さまへの土地活用の提案を行います ■充実の研修・教育体制あり！上司のフォローも手厚いので始めやすい
対象となる方 ＜ 業界・営業未経験者歓迎 ＞■高卒以上／要普免 ■『大好きな岐阜で働きたい！』『営業・正社員デビューしてみたい！』などの方歓迎します！
勤務地 ◆岐阜県内の各拠点 ※自宅近くの拠点での勤務希望を考慮 ※Ｉ＆Ｕターン歓迎 ※各事業所の詳しい住所…
給与 月給26万3,000円以上＋諸手当＋業績連動成果給 【営業社員の平均年収819万円】 ※月給は、固定残業代【…
初年度年収 450万円～800万円"
537,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】愛知募集＊未経験歓迎＊年齢不問 正社員,正社員,"仕事内容 ＜ 愛知でニーズ増加中 ＞■地域のお客さまへの土地活用の提案を行います ■充実の研修・教育体制あり！上司のフォローも手厚いので始めやすい
対象となる方 ＜ 業界・営業未経験者歓迎 ＞■高卒以上／要普免 ■『大好きな愛知で働きたい！』『営業・正社員デビューしてみたい！』などの方歓迎します！
勤務地 ◆愛知県内の各拠点 ※自宅近くの拠点での勤務希望を考慮 ※Ｉ＆Ｕターン歓迎 ※各事業所の詳しい住所…
給与 月給26万3,000円以上＋諸手当＋業績連動成果給 【営業社員の平均年収819万円】 ※月給は、固定残業代【…
初年度年収 450万円～800万円"
538,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】大阪募集＊未経験歓迎＊年齢不問 正社員,正社員,"仕事内容 ＜ 大阪府でニーズ増加中 ＞■地域のお客さまへの土地活用の提案を行います ■充実の研修・教育体制あり！上司のフォローも手厚いので始めやすい
対象となる方 ＜ 業界・営業未経験者歓迎 ＞■高卒以上／要普免 ■『大好きな大阪で働きたい！』『営業・正社員デビューしてみたい！』などの方歓迎します！
勤務地 ◆大阪府内の各拠点 ※自宅近くの拠点での勤務希望を考慮 ※Ｉ＆Ｕターン歓迎 ※各事業所の詳しい住所…
給与 月給26万3,000円以上＋諸手当＋業績連動成果給 【営業社員の平均年収819万円】 ※月給は、固定残業代【…
初年度年収 450万円～800万円"
539,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】長野募集＊未経験歓迎＊年齢不問 正社員,正社員,"仕事内容 ＜ 長野県でニーズ増加中 ＞■地域のお客さまへの土地活用の提案を行います ■充実の研修・教育体制あり！上司のフォローも手厚いので始めやすい
対象となる方 ＜ 業界・営業未経験者歓迎 ＞■高卒以上／要普免 ■『大好きな長野で働きたい！』『営業・正社員デビューしてみたい！』などの方歓迎します！
勤務地 ◆長野県内の各拠点 ※自宅近くの拠点での勤務希望を考慮 ※Ｉ＆Ｕターン歓迎 ※各事業所の詳しい住所…
給与 月給26万3,000円以上＋諸手当＋業績連動成果給 【営業社員の平均年収819万円】 ※月給は、固定残業代【…
初年度年収 450万円～800万円"
540,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】福岡募集＊未経験歓迎＊年齢不問 正社員,正社員,"仕事内容 ＜ 福岡県でニーズ増加中 ＞■地域のお客さまへの土地活用の提案を行います ■充実の研修・教育体制あり！上司のフォローも手厚いので始めやすい
対象となる方 ＜ 業界・営業未経験者歓迎 ＞■高卒以上／要普免 ■『大好きな福岡で働きたい！』『営業・正社員デビューしてみたい！』などの方歓迎します！
勤務地 ◆福岡県内の各拠点 ※自宅近くの拠点での勤務希望を考慮 ※Ｉ＆Ｕターン歓迎 ※各事業所の詳しい住所…
給与 月給26万3,000円以上＋諸手当＋業績連動成果給 【営業社員の平均年収819万円】 ※月給は、固定残業代【…
初年度年収 450万円～800万円"
541,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】千葉募集＊未経験歓迎＊年齢不問 正社員,正社員,"仕事内容 ＜ 千葉県でニーズ増加中 ＞■地域のお客さまへの土地活用の提案を行います ■充実の研修・教育体制あり！上司のフォローも手厚いので始めやすい
対象となる方 ＜ 業界・営業未経験者歓迎 ＞■高卒以上／要普免 ■『大好きな千葉で働きたい！』『営業・正社員デビューしてみたい！』などの方歓迎します！
勤務地 ◆千葉県内の各拠点 ※自宅近くの拠点での勤務希望を考慮 ※Ｉ＆Ｕターン歓迎 ※各事業所の詳しい住所…
給与 月給26万3,000円以上＋諸手当＋業績連動成果給 【営業社員の平均年収819万円】 ※月給は、固定残業代【…
初年度年収 450万円～800万円"
542,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,月給26.3万円スタート【 営業 】兵庫募集＊未経験歓迎＊年齢不問 正社員,正社員,"仕事内容 ＜ 兵庫県でニーズ増加中 ＞■地域のお客さまへの土地活用の提案を行います ■充実の研修・教育体制あり！上司のフォローも手厚いので始めやすい
対象となる方 ＜ 業界・営業未経験者歓迎 ＞■高卒以上／要普免 ■『大好きな兵庫で働きたい！』『営業・正社員デビューしてみたい！』などの方歓迎します！
勤務地 ◆兵庫県内の各拠点 ※自宅近くの拠点での勤務希望を考慮 ※Ｉ＆Ｕターン歓迎 ※各事業所の詳しい住所…
給与 月給26万3,000円以上＋諸手当＋業績連動成果給 【営業社員の平均年収819万円】 ※月給は、固定残業代【…
初年度年収 450万円～800万円"
543,株式会社YES | ◆年休125日(土日祝)◆残業月30h以内◆メリハリをつけて働ける！,◆経験者歓迎！◆待遇も働きやすさも高水準の【電気施工管理】 正社員,正社員,"仕事内容 《年休125日＆完全週休2日＆残業月30h以内“業界高水準の働きやすさ◎“》◆各施工現場にて管理、運営をお任せします！
対象となる方 応募条件：以下いずれかに当てはまる方⇒施工管理or電気工事の経験者（共に年数不問)・電気施工管理技士(1級・2級)or電気工事士(1種・2種)の有資格者
勤務地 《転勤なし/マイカー通勤OK/U・Iターン歓迎》 ＜本社＞ 三重県鈴鹿市中江島町29番地18号 ＜…
給与 月給：25万円〜45万円＋各種手当＋決算賞与 ※上記の給与額は最低保証額です ※経験や年齢などを考慮の…
初年度年収 350万円～600万円"
544,株式会社福岡技建工業 | ◎高収入を実現可能《 固定給＋歩合制 》/完全週休2日制(土日祝),住まいづくりをサポートする【 反響型営業 】☆未経験者歓迎 正社員,正社員,"仕事内容 《 ノルマなし/原則残業なし/歩合あり 》お客様のマイホームの夢を、当社で叶えるためのお手伝いをお任せします！ ※押し売りなどは一切行いません！
対象となる方 未経験者・第二新卒歓迎｜◎高卒以上 ◎年齢/経験不問 ◎経験者・資格保有者優遇 ☆建築士・宅建士の資格取得も目指せます！
勤務地 《転勤なし》福岡県福岡市博多区浦田1丁目28-68 ◎マイカー通勤OK ◎U・Iターン歓迎
給与 月給25万円〜＋歩合＋諸手当 ※経験、能力を考慮の上、優遇します。 ※最長3ヶ月間の試用期間あり(待遇…"
545,平松電気工事株式会社 | 大規模案件多数！電気工事関連資格の保有者は優遇します！,【技術スタッフ（施工管理／電気工事）】賞与100～200万円の実績 正社員,正社員,"仕事内容 【土日休◎残業ほぼなし◎リフレッシュ休暇あり◎家族手当など手当類充実】《施工管理》もしくは《電気工事の施工》のいずれかをお任せします。
対象となる方 ■普通自動車免許 ■電気工事の実務経験、または各種資格をお持ちの方 ★決算賞与あり＆各種手当が充実！収入もやりがいも満足できます。
勤務地 本社／岡山県岡山市南区福浜町13-28 ※アクセス 『みやはら耳鼻科・福浜市営住宅前』駅徒歩3分…
給与 ◆月給20万円〜40万円＋各種手当 （通勤交通費＋家族手当＋皆勤手当＋出張手当　他） ※上記はあくまで…
初年度年収 300万円～450万円"
